month,day,dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,tailnum,origin,dest,air_time,time_hour
2,1,855,-5,1442,1540,-58,N388HA,JFK,HNL,620,2/1/2013 9:00
2,2,858,-2,1440,1540,-60,N388HA,JFK,HNL,629,2/2/2013 9:00
2,3,857,-3,1446,1540,-54,N382HA,JFK,HNL,614,2/3/2013 9:00
2,4,857,-3,1521,1540,-19,N380HA,JFK,HNL,655,2/4/2013 9:00
2,5,900,0,1555,1540,15,N386HA,JFK,HNL,679,2/5/2013 9:00
2,6,853,-7,1542,1540,2,N389HA,JFK,HNL,691,2/6/2013 9:00
2,7,900,0,1528,1540,-12,N383HA,JFK,HNL,652,2/7/2013 9:00
2,8,854,-6,1501,1540,-39,N388HA,JFK,HNL,609,2/8/2013 9:00
2,9,1206,186,1814,1540,154,N380HA,JFK,HNL,645,2/9/2013 9:00
2,10,857,-3,1440,1540,-60,N384HA,JFK,HNL,605,2/10/2013 9:00
2,11,857,-3,1430,1540,-70,N389HA,JFK,HNL,601,2/11/2013 9:00
2,12,859,-1,1441,1540,-59,N382HA,JFK,HNL,607,2/12/2013 9:00
2,13,901,1,1441,1540,-59,N388HA,JFK,HNL,616,2/13/2013 9:00
2,14,856,-4,1503,1540,-37,N381HA,JFK,HNL,632,2/14/2013 9:00
2,15,858,-2,1436,1540,-64,N382HA,JFK,HNL,611,2/15/2013 9:00
2,16,852,-8,1440,1540,-60,N386HA,JFK,HNL,615,2/16/2013 9:00
2,17,904,4,1444,1540,-56,N388HA,JFK,HNL,594,2/17/2013 9:00
2,18,914,14,1521,1540,-19,N385HA,JFK,HNL,636,2/18/2013 9:00
2,19,857,-3,1457,1540,-43,N386HA,JFK,HNL,625,2/19/2013 9:00
2,20,851,-9,1510,1540,-30,N380HA,JFK,HNL,649,2/20/2013 9:00
2,21,855,-5,1509,1540,-31,N384HA,JFK,HNL,645,2/21/2013 9:00
2,22,857,-3,1436,1540,-64,N382HA,JFK,HNL,606,2/22/2013 9:00
2,23,1226,206,1746,1540,126,N389HA,JFK,HNL,599,2/23/2013 9:00
2,24,936,36,1507,1540,-33,N383HA,JFK,HNL,612,2/24/2013 9:00
2,25,858,-2,1447,1540,-53,N385HA,JFK,HNL,622,2/25/2013 9:00
2,26,1000,60,1513,1540,-27,N382HA,JFK,HNL,584,2/26/2013 9:00
2,27,924,24,1448,1540,-52,N389HA,JFK,HNL,589,2/27/2013 9:00
2,28,924,24,1455,1540,-45,N380HA,JFK,HNL,612,2/28/2013 9:00
